
Sample:   c= .0000 mg/ml  Code: NAPI
  2.520060e-02   4.828917e+07   2.808127e+05
  2.784400e-02   7.407201e+06   6.079446e+04
  3.048740e-02   3.135621e+06   3.706450e+04
  3.313080e-02   1.428242e+06   2.336362e+04
  3.577420e-02   6.656252e+05   1.488011e+04
  3.841750e-02   4.355156e+05   1.214932e+04
  4.106090e-02   2.831295e+05   8.984843e+03
  4.370430e-02   2.234136e+05   7.918684e+03
  4.634770e-02   1.757451e+05   6.531516e+03
  4.899110e-02   1.548752e+05   5.824683e+03
  5.163450e-02   1.276201e+05   5.162958e+03
  5.427790e-02   1.086846e+05   4.440733e+03
  5.692130e-02   1.001057e+05   4.327949e+03
  5.956470e-02   8.309939e+04   3.735040e+03
  6.220810e-02   7.215098e+04   3.286387e+03
  6.485140e-02   6.428827e+04   3.182744e+03
  6.749480e-02   5.649400e+04   2.783260e+03
  7.013820e-02   5.444569e+04   2.753437e+03
  7.278160e-02   4.772999e+04   2.474685e+03
  7.542500e-02   4.466118e+04   2.344104e+03
  7.806840e-02   3.821637e+04   2.146445e+03
  8.071180e-02   3.767828e+04   2.031477e+03
  8.335520e-02   3.402910e+04   1.948500e+03
  8.599860e-02   3.488144e+04   1.908628e+03
  8.864200e-02   3.182316e+04   1.878462e+03
  9.128530e-02   2.923155e+04   1.805931e+03
  9.392870e-02   2.755046e+04   1.742444e+03
  9.657210e-02   2.503579e+04   1.676521e+03
  9.921550e-02   2.564583e+04   1.665875e+03
  1.018590e-01   2.550288e+04   1.681610e+03
  1.045020e-01   2.193145e+04   1.513414e+03
  1.071460e-01   2.039317e+04   1.467933e+03
  1.097890e-01   2.248117e+04   1.573997e+03
  1.124320e-01   1.796290e+04   1.335172e+03
  1.150760e-01   1.857181e+04   1.372868e+03
  1.177190e-01   1.708428e+04   1.291450e+03
  1.203630e-01   1.775993e+04   1.342524e+03
  1.230060e-01   1.715558e+04   1.315773e+03
  1.256490e-01   1.691744e+04   1.268016e+03
  1.282930e-01   1.786885e+04   1.296343e+03
  1.309360e-01   1.197527e+04   1.050300e+03
  1.335800e-01   1.542364e+04   1.204384e+03
  1.362230e-01   1.505714e+04   1.151448e+03
  1.388660e-01   1.424331e+04   1.136740e+03
  1.415100e-01   1.256518e+04   1.054447e+03
  1.441530e-01   1.467392e+04   1.112427e+03
  1.467970e-01   1.456216e+04   1.126853e+03
  1.494400e-01   1.353369e+04   1.053596e+03
  1.520830e-01   1.527686e+04   1.132396e+03
  1.547270e-01   1.400777e+04   1.074347e+03
  1.573700e-01   1.232432e+04   9.963623e+02
  1.600130e-01   1.315704e+04   1.018122e+03
  1.626570e-01   1.215362e+04   9.638449e+02
  1.653000e-01   1.221162e+04   9.808609e+02
  1.679440e-01   1.255148e+04   9.712628e+02
  1.705870e-01   1.379429e+04   1.022501e+03
  1.732300e-01   1.108821e+04   9.053485e+02
  1.758740e-01   1.319723e+04   9.836636e+02
  1.785170e-01   1.400373e+04   1.013274e+03
  1.811610e-01   1.055408e+04   8.588786e+02
  1.838040e-01   1.265403e+04   9.592993e+02
  1.864470e-01   1.220916e+04   9.255739e+02
  1.890910e-01   1.099630e+04   8.666298e+02
  1.917340e-01   1.183762e+04   9.026100e+02
  1.943780e-01   1.168909e+04   8.786060e+02
  1.970210e-01   1.156233e+04   8.920528e+02
  1.996640e-01   1.224138e+04   9.024468e+02
  2.023080e-01   1.076453e+04   8.431432e+02
  2.049510e-01   1.110780e+04   8.396708e+02
  2.075950e-01   1.056641e+04   8.104068e+02
  2.102380e-01   1.130758e+04   8.547727e+02
  2.128810e-01   1.197527e+04   8.510451e+02
  2.155250e-01   1.132852e+04   8.420421e+02
  2.181680e-01   1.055552e+04   8.072007e+02
  2.208110e-01   9.466933e+03   7.579613e+02
  2.234550e-01   1.129626e+04   8.350433e+02
  2.260980e-01   1.222636e+04   8.416974e+02
  2.287420e-01   1.168175e+04   8.280976e+02
  2.313850e-01   1.157225e+04   8.162438e+02
  2.340280e-01   1.212782e+04   8.329419e+02
  2.366720e-01   1.118335e+04   8.049954e+02
  2.393150e-01   1.128938e+04   7.923589e+02
  2.419590e-01   1.076641e+04   7.810772e+02
  2.446020e-01   1.014822e+04   7.421116e+02
  2.472450e-01   1.146099e+04   7.946767e+02
  2.498890e-01   9.723037e+03   7.308282e+02
  2.525320e-01   1.067208e+04   7.508846e+02
  2.551760e-01   1.179160e+04   8.060569e+02
  2.578190e-01   1.153300e+04   7.671636e+02
  2.604620e-01   1.088187e+04   7.527149e+02
  2.631060e-01   1.011401e+04   7.299156e+02
  2.657490e-01   1.077774e+04   7.437347e+02
  2.683920e-01   9.369697e+03   6.964441e+02
  2.710360e-01   1.223846e+04   7.771429e+02
  2.736790e-01   1.094930e+04   7.432866e+02
  2.763230e-01   1.001777e+04   7.031097e+02
  2.789660e-01   1.101268e+04   7.341785e+02
  2.816090e-01   1.153356e+04   7.523662e+02
  2.842530e-01   1.061444e+04   7.140045e+02
  2.868960e-01   1.218736e+04   7.723427e+02
  2.895400e-01   1.066547e+04   7.063381e+02
  2.921830e-01   9.921916e+03   6.830528e+02
  2.948260e-01   1.056086e+04   7.056275e+02
  2.974700e-01   1.171292e+04   7.363851e+02
  3.001130e-01   1.025108e+04   6.942907e+02
  3.027570e-01   1.052689e+04   6.866983e+02
  3.054000e-01   1.037552e+04   6.886472e+02
  3.080430e-01   1.009302e+04   6.698970e+02
  3.106870e-01   9.843306e+03   6.682072e+02
  3.133300e-01   1.057422e+04   6.839894e+02
  3.159740e-01   1.062414e+04   6.732774e+02
  3.186170e-01   1.110514e+04   7.009504e+02
  3.212600e-01   1.022175e+04   6.611897e+02
  3.239040e-01   1.012848e+04   6.621193e+02
  3.265470e-01   1.204723e+04   7.212490e+02
  3.291900e-01   1.028822e+04   6.533026e+02
  3.318340e-01   1.125904e+04   6.955860e+02
  3.344770e-01   9.970233e+03   6.409109e+02
  3.371210e-01   1.100280e+04   6.771753e+02
  3.397640e-01   9.961244e+03   6.377033e+02
  3.424070e-01   1.052859e+04   6.504585e+02
  3.450510e-01   9.500009e+03   6.277783e+02
  3.476940e-01   1.037074e+04   6.370693e+02
  3.503380e-01   1.059973e+04   6.548534e+02
  3.529810e-01   1.109708e+04   6.655586e+02
  3.556240e-01   1.056408e+04   6.465114e+02
  3.582680e-01   1.057335e+04   6.446684e+02
  3.609110e-01   1.040159e+04   6.318518e+02
  3.635550e-01   1.071540e+04   6.461627e+02
  3.661980e-01   1.039957e+04   6.271179e+02
  3.688410e-01   9.442037e+03   6.020023e+02
  3.714850e-01   1.073255e+04   6.357414e+02
  3.741280e-01   1.023250e+04   6.181682e+02
  3.767710e-01   1.051950e+04   6.320555e+02
  3.794150e-01   9.550826e+03   5.923171e+02
  3.820580e-01   1.060595e+04   6.293475e+02
  3.847020e-01   1.134879e+04   6.404495e+02
  3.873450e-01   1.050591e+04   6.212274e+02
  3.899880e-01   9.817779e+03   5.974910e+02
  3.926320e-01   1.126667e+04   6.318035e+02
  3.952750e-01   9.452252e+03   5.850797e+02
  3.979190e-01   1.116991e+04   6.253950e+02
  4.005620e-01   1.005493e+04   5.998268e+02
  4.032050e-01   1.019049e+04   5.933133e+02
  4.058490e-01   9.987095e+03   5.884952e+02
  4.084920e-01   1.061444e+04   6.138489e+02
  4.111360e-01   1.085330e+04   6.105459e+02
  4.137790e-01   9.589478e+03   5.772188e+02
  4.164220e-01   1.027423e+04   5.912157e+02
  4.190660e-01   1.043334e+04   5.935319e+02
  4.217090e-01   1.034228e+04   5.931702e+02
  4.243530e-01   9.767536e+03   5.716018e+02
  4.269960e-01   1.028042e+04   6.176906e+02
  4.296390e-01   1.046599e+04   6.232404e+02
  4.322830e-01   1.098859e+04   6.675094e+02
  4.349260e-01   1.072666e+04   6.757161e+02
  4.375690e-01   1.107302e+04   6.738825e+02
  4.402130e-01   1.209125e+04   7.251850e+02
  4.428560e-01   9.433753e+03   6.374739e+02
  4.455000e-01   1.085069e+04   7.033455e+02
  4.481430e-01   9.595372e+03   6.605726e+02
  4.507860e-01   1.027751e+04   6.836496e+02
  4.534300e-01   9.894003e+03   6.893479e+02
  4.560730e-01   1.078700e+04   7.066798e+02
  4.587170e-01   1.111107e+04   7.172166e+02
  4.613600e-01   1.033544e+04   6.829849e+02
  4.640030e-01   1.015680e+04   6.711802e+02
  4.666470e-01   1.048221e+04   6.957285e+02
  4.692900e-01   1.009054e+04   6.624764e+02
  4.719340e-01   1.050139e+04   6.954714e+02
  4.745770e-01   9.757624e+03   6.578589e+02
  4.772200e-01   1.025788e+04   6.900199e+02
  4.798640e-01   9.381613e+03   6.458569e+02
  4.825070e-01   1.140887e+04   6.793882e+02
  4.851500e-01   1.068731e+04   6.627987e+02
  4.877940e-01   1.128439e+04   6.581187e+02
  4.904370e-01   1.080918e+04   6.518184e+02
  4.930810e-01   1.097113e+04   6.387638e+02
  4.957240e-01   1.065411e+04   6.224197e+02
  4.983670e-01   1.108270e+04   6.420036e+02
  5.010110e-01   1.101533e+04   6.297042e+02
  5.036540e-01   1.155529e+04   6.449535e+02
  5.062980e-01   1.069467e+04   6.083988e+02
  5.089410e-01   1.066656e+04   6.087726e+02
  5.115840e-01   1.048418e+04   6.053046e+02
  5.142280e-01   1.008503e+04   5.851928e+02
  5.168710e-01   1.108864e+04   6.189073e+02
  5.195150e-01   1.150543e+04   6.141146e+02
  5.221580e-01   1.165251e+04   6.237447e+02
  5.248010e-01   1.047283e+04   5.891430e+02
  5.274450e-01   1.024144e+04   5.752164e+02
  5.300880e-01   9.664821e+03   5.608098e+02
  5.327320e-01   1.096149e+04   5.892932e+02
  5.353750e-01   1.046477e+04   5.840868e+02
  5.380180e-01   1.149006e+04   5.965343e+02
  5.406620e-01   1.085910e+04   5.829473e+02
  5.433050e-01   1.011009e+04   5.669458e+02
  5.459480e-01   1.068402e+04   5.777256e+02
  5.485920e-01   1.099642e+04   5.861111e+02
  5.512350e-01   1.061580e+04   5.642236e+02
  5.538790e-01   9.674649e+03   5.399862e+02
  5.565220e-01   1.149748e+04   5.921501e+02
  5.591650e-01   1.092097e+04   5.708480e+02
  5.618090e-01   1.114421e+04   5.785784e+02
  5.644520e-01   1.110594e+04   5.704736e+02
  5.670960e-01   9.665467e+03   5.361437e+02
  5.697390e-01   1.065546e+04   5.569700e+02
  5.723820e-01   1.035200e+04   5.494269e+02
  5.750260e-01   1.071421e+04   5.562538e+02
  5.776690e-01   1.081234e+04   5.583468e+02
  5.803130e-01   1.141241e+04   5.764137e+02
  5.829560e-01   1.144858e+04   5.633476e+02
  5.855990e-01   1.005237e+04   5.357931e+02
  5.882430e-01   1.031672e+04   5.385284e+02
  5.908860e-01   1.077210e+04   5.511486e+02
  5.935290e-01   1.044612e+04   5.372903e+02
  5.961730e-01   1.000082e+04   5.249067e+02
  5.988160e-01   1.053092e+04   5.374038e+02
  6.014600e-01   1.042831e+04   5.335587e+02
  6.041030e-01   9.535193e+03   5.075071e+02
  6.067460e-01   1.151675e+04   5.573348e+02
  6.093900e-01   1.046950e+04   5.274458e+02
  6.120330e-01   1.041794e+04   5.288910e+02
  6.146770e-01   1.134774e+04   5.447090e+02
  6.173200e-01   1.151800e+04   5.460054e+02
  6.199630e-01   1.081361e+04   5.263985e+02
  6.226070e-01   9.866578e+03   5.068121e+02
  6.252500e-01   1.090144e+04   5.300463e+02
  6.278940e-01   1.023556e+04   5.092381e+02
  6.305370e-01   1.028623e+04   5.104970e+02
  6.331800e-01   1.075773e+04   5.187836e+02
  6.358240e-01   1.094495e+04   5.265894e+02
  6.384670e-01   1.006520e+04   5.007626e+02
  6.411110e-01   1.045341e+04   5.106825e+02
  6.437540e-01   9.979389e+03   4.989694e+02
  6.463970e-01   1.011503e+04   5.020005e+02
  6.490410e-01   1.002063e+04   4.979289e+02
  6.516840e-01   9.833884e+03   4.929281e+02
  6.543270e-01   1.015187e+04   5.001468e+02
  6.569710e-01   1.085780e+04   5.211909e+02
  6.596140e-01   1.004168e+04   4.947178e+02
  6.622580e-01   1.084180e+04   5.168628e+02
  6.649010e-01   9.869989e+03   4.868506e+02
  6.675440e-01   1.023326e+04   4.987387e+02
  6.701880e-01   1.005626e+04   4.984702e+02
  6.728310e-01   1.083968e+04   5.081721e+02
  6.754750e-01   1.013292e+04   4.956172e+02
  6.781180e-01   1.084912e+04   5.080564e+02
  6.807610e-01   1.090179e+04   5.099641e+02
  6.834050e-01   1.047048e+04   4.974675e+02
  6.860480e-01   1.017820e+04   4.863333e+02
  6.886920e-01   1.064380e+04   5.045643e+02
  6.913350e-01   1.109473e+04   5.048278e+02
  6.939780e-01   1.087228e+04   5.069227e+02
  6.966220e-01   1.084247e+04   5.006588e+02
  6.992650e-01   1.046693e+04   4.890876e+02
  7.019080e-01   1.058866e+04   5.002670e+02
  7.045520e-01   1.044094e+04   4.841868e+02
  7.071950e-01   1.084165e+04   4.974489e+02
  7.098390e-01   9.843945e+03   4.758250e+02
  7.124820e-01   1.079566e+04   4.917287e+02
  7.151250e-01   1.054344e+04   4.921257e+02
  7.177690e-01   1.056641e+04   4.822885e+02
  7.204120e-01   1.023885e+04   4.794782e+02
  7.230560e-01   1.035639e+04   4.792365e+02
  7.256990e-01   1.021026e+04   4.776156e+02
  7.283420e-01   1.062750e+04   4.845721e+02
  7.309860e-01   1.012335e+04   4.714912e+02
  7.336290e-01   1.064468e+04   4.858610e+02
  7.362730e-01   1.103902e+04   4.902600e+02
  7.389160e-01   1.088661e+04   4.868638e+02
  7.415590e-01   1.087863e+04   4.884649e+02
  7.442030e-01   1.025231e+04   4.679517e+02
  7.468460e-01   9.561251e+03   4.573767e+02
  7.494900e-01   1.015294e+04   4.629344e+02
  7.521330e-01   9.869960e+03   4.596899e+02
  7.547760e-01   9.002632e+03   4.366918e+02
  7.574200e-01   1.021252e+04   4.675991e+02
  7.600630e-01   9.941462e+03   4.605293e+02
  7.627060e-01   1.013768e+04   4.575072e+02
  7.653500e-01   1.079887e+04   4.777140e+02
  7.679930e-01   1.057746e+04   4.697613e+02
  7.706370e-01   1.058377e+04   4.723770e+02
  7.732800e-01   1.069122e+04   4.692925e+02
  7.759230e-01   1.111299e+04   4.795610e+02
  7.785670e-01   1.074863e+04   4.727243e+02
  7.812100e-01   1.092504e+04   4.727729e+02
  7.838540e-01   1.056762e+04   4.665720e+02
  7.864970e-01   1.057591e+04   4.620107e+02
  7.891400e-01   1.106805e+04   4.723728e+02
  7.917840e-01   1.078594e+04   4.702894e+02
  7.944270e-01   1.044494e+04   4.576013e+02
  7.970710e-01   1.016349e+04   4.531674e+02
  7.997140e-01   1.028153e+04   4.517444e+02
  8.023570e-01   1.104160e+04   4.734048e+02
  8.050010e-01   1.055122e+04   4.578838e+02
  8.076440e-01   1.056873e+04   4.564997e+02
  8.102870e-01   1.057925e+04   4.582384e+02
  8.129310e-01   1.023925e+04   4.485895e+02
  8.155740e-01   9.953213e+03   4.420377e+02
  8.182180e-01   1.066122e+04   4.550099e+02
  8.208610e-01   9.408214e+03   4.272050e+02
  8.235040e-01   1.035348e+04   4.488803e+02
  8.261480e-01   1.026730e+04   4.472505e+02
  8.287910e-01   1.040769e+04   4.478756e+02
  8.314350e-01   1.023468e+04   4.408387e+02
  8.340780e-01   1.045746e+04   4.491862e+02
  8.367210e-01   9.825860e+03   4.342457e+02
  8.393650e-01   1.053849e+04   4.473339e+02
  8.420080e-01   1.010891e+04   4.395178e+02
  8.446520e-01   1.012959e+04   4.331102e+02
  8.472950e-01   1.108064e+04   4.608937e+02
  8.499380e-01   1.054875e+04   4.449720e+02
  8.525820e-01   1.079626e+04   4.471353e+02
  8.552250e-01   1.039859e+04   4.417936e+02
  8.578690e-01   1.033430e+04   4.406562e+02
  8.605120e-01   9.866665e+03   4.430263e+02
  8.631550e-01   1.065995e+04   4.574622e+02
  8.657990e-01   1.047335e+04   4.579677e+02
  8.684420e-01   9.507390e+03   4.385432e+02
  8.710850e-01   9.627955e+03   4.376343e+02
  8.737290e-01   9.626639e+03   4.440438e+02
  8.763720e-01   1.060008e+04   4.574274e+02
  8.790160e-01   1.024129e+04   4.561834e+02
  8.816590e-01   1.038868e+04   4.636695e+02
  8.843020e-01   9.843509e+03   4.442313e+02
  8.869460e-01   1.072503e+04   4.663055e+02
  8.895890e-01   1.003809e+04   4.352064e+02
  8.922330e-01   1.023981e+04   4.435355e+02
  8.948760e-01   1.038480e+04   4.408103e+02
  8.975190e-01   1.031442e+04   4.354751e+02
  9.001630e-01   1.089399e+04   4.519590e+02
  9.028060e-01   1.024104e+04   4.323772e+02
  9.054500e-01   1.019566e+04   4.347444e+02
  9.080930e-01   9.414291e+03   4.120523e+02
  9.107360e-01   1.051136e+04   4.349630e+02
