
Sample:   c= 3.0000 mg/ml  Code: ADR_NAPI
  2.520060e-02   5.139991e+07   2.892295e+05
  2.784400e-02   7.698603e+06   6.187460e+04
  3.048740e-02   3.163952e+06   3.716899e+04
  3.313080e-02   1.492008e+06   2.383935e+04
  3.577420e-02   6.879229e+05   1.510187e+04
  3.841750e-02   4.995831e+05   1.299043e+04
  4.106090e-02   3.478214e+05   9.941812e+03
  4.370430e-02   2.867209e+05   8.955655e+03
  4.634770e-02   2.370881e+05   7.573501e+03
  4.899110e-02   2.036963e+05   6.668718e+03
  5.163450e-02   1.731970e+05   6.004524e+03
  5.427790e-02   1.674523e+05   5.502825e+03
  5.692130e-02   1.519854e+05   5.323815e+03
  5.956470e-02   1.433879e+05   4.898037e+03
  6.220810e-02   1.327774e+05   4.450709e+03
  6.485140e-02   1.311285e+05   4.537888e+03
  6.749480e-02   1.214915e+05   4.074694e+03
  7.013820e-02   1.103298e+05   3.912995e+03
  7.278160e-02   1.140650e+05   3.819177e+03
  7.542500e-02   1.054535e+05   3.595934e+03
  7.806840e-02   1.058535e+05   3.566293e+03
  8.071180e-02   9.617174e+04   3.240108e+03
  8.335520e-02   9.307113e+04   3.217009e+03
  8.599860e-02   8.555763e+04   2.984165e+03
  8.864200e-02   9.371222e+04   3.218091e+03
  9.128530e-02   8.628817e+04   3.097565e+03
  9.392870e-02   8.160497e+04   2.993796e+03
  9.657210e-02   8.223993e+04   3.033466e+03
  9.921550e-02   7.851248e+04   2.909866e+03
  1.018590e-01   8.023004e+04   2.977616e+03
  1.045020e-01   7.566959e+04   2.806430e+03
  1.071460e-01   7.603327e+04   2.829665e+03
  1.097890e-01   7.874934e+04   2.940948e+03
  1.124320e-01   8.318266e+04   2.868368e+03
  1.150760e-01   7.393661e+04   2.734644e+03
  1.177190e-01   8.026968e+04   2.794631e+03
  1.203630e-01   7.737552e+04   2.797518e+03
  1.230060e-01   7.422526e+04   2.732270e+03
  1.256490e-01   7.047361e+04   2.583688e+03
  1.282930e-01   7.310997e+04   2.617757e+03
  1.309360e-01   6.848881e+04   2.507553e+03
  1.335800e-01   7.142282e+04   2.587376e+03
  1.362230e-01   6.871428e+04   2.455648e+03
